image_id,split,label,source_label_dir,file_path,file_name,file_ext,file_size_bytes,sha256,is_readable,width,height,aspect_ratio,mode,perceptual_hash,error,ingested_at_utc
73b167d4a381c5d5,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0001.JPEG,0001.JPEG,.jpeg,7164,fd5ef60b972bc8096fddfe38f2d58d0e457e7d604f6a1e5db8c3ca641829a2d6,True,275,183,1.5027322404371584,RGB,40e1e0e0c0c0e1e3,,2026-04-07T17:08:59+00:00
13d11c44ff676823,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0002.JPEG,0002.JPEG,.jpeg,9173,08bb1d4c2d0b6c564f5db4602b26e96fd6341fa6fe55cf05d2f24084b947066e,True,258,196,1.316326530612245,RGB,fcffffff031f0000,,2026-04-07T17:08:59+00:00
8cb07b8e5b58713f,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0003.JPEG,0003.JPEG,.jpeg,6477,4c2e892968538e9151895febebdc42e4e5437f2e402e782a7eb3b2d00209c085,True,259,194,1.3350515463917525,RGB,fffe70381c8080c0,,2026-04-07T17:08:59+00:00
83bb2afa9a86096e,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0004.JPEG,0004.JPEG,.jpeg,8465,6f3372296185251320a5a020b53e78855d77ec15bfd013aa43cc7858fa045eaa,True,259,194,1.3350515463917525,RGB,f0b0c1c083170707,,2026-04-07T17:08:59+00:00
80b5837ecbee04a6,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0005.JPEG,0005.JPEG,.jpeg,6252,eb8973ed0e1f03746c62ab8470058c70153e571f4d9a0af3cc0ee340cd288d55,True,259,194,1.3350515463917525,RGB,0701c1fffe980107,,2026-04-07T17:08:59+00:00
81961377e29b51ed,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0006.JPEG,0006.JPEG,.jpeg,6830,a97aaec711ae2c3811574f2d61273269f61ed4e466c0b2702123d123dc72fbbd,True,259,194,1.3350515463917525,RGB,800000c0c0e0ffff,,2026-04-07T17:08:59+00:00
2620f43007cd1aca,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0007.JPEG,0007.JPEG,.jpeg,6272,2a21b25632bb8e6cbe8206673edb527b209fc49cda85e875c2a730837d84cd06,True,276,183,1.5081967213114753,RGB,efffffbfbb000000,,2026-04-07T17:08:59+00:00
21c2cfa386f1be08,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0008.jpeg,0008.jpeg,.jpeg,5908,0973a9ed5265340b85e8e7b28c17662cd3f11336a89f8b04855f2d39d1471371,True,260,194,1.3402061855670102,RGB,071f7f7f77610000,,2026-04-07T17:08:59+00:00
03307e2d347cae6c,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0009.jpeg,0009.jpeg,.jpeg,5945,d6213e8f9c80aa90d6f72f3d27a0d100903e81d30f4a8f1267dd7742bf468875,True,194,260,0.7461538461538462,RGB,e07ffffffce00000,,2026-04-07T17:08:59+00:00
7e492023193b4f54,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0010.JPEG,0010.JPEG,.jpeg,5033,a1a97594dfb08b3c38e8cf5c9ba539b20d4e304b8dc07037b4a0243d32144ec1,True,194,259,0.749034749034749,RGB,3e7ff8006f0700f0,,2026-04-07T17:08:59+00:00
dcf9992a0f60cf3c,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0011.jpeg,0011.jpeg,.jpeg,9694,e7b05aed81948450f9a513405583ee0929714a8ce88d1a7ab5ee3874f8669b60,True,179,282,0.6347517730496454,RGB,fafe9f0fa08000c1,,2026-04-07T17:08:59+00:00
4f5e1c165c231d70,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0012.JPEG,0012.JPEG,.jpeg,7281,a82d3251ff7ebab396d5be4c9cfe73db7dcba17fbda4a42aa1123d553b51465d,True,290,174,1.6666666666666667,RGB,7876be988080c000,,2026-04-07T17:08:59+00:00
52242b45c21744e2,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0013.JPEG,0013.JPEG,.jpeg,10577,ca242a4203a3eb0c2900ca9f9a8d3495a8c4dac347666526371c40cfe150a5ca,True,259,194,1.3350515463917525,RGB,ffedc1c3070383ff,,2026-04-07T17:08:59+00:00
40de5c8e01d873a8,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0014.JPEG,0014.JPEG,.jpeg,12140,0ed80f475aade02e93f69dc8d5ec0feaf193901ee3c45e8513f074f09ae33d24,True,259,194,1.3350515463917525,RGB,7f7f00018181e1e7,,2026-04-07T17:08:59+00:00
aed1750c8e15e11b,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0015.JPEG,0015.JPEG,.jpeg,5348,72deae88f036edc421e7750ad133816377aa8492abba5c33e25af51db9e88c49,True,259,194,1.3350515463917525,RGB,ffff9efc7c380000,,2026-04-07T17:08:59+00:00
c8d5d7fb9b8f8a79,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0016.JPEG,0016.JPEG,.jpeg,9763,0585d3174421775501271ef322c26491369089ad726c73d84af1ea9ff79365e7,True,260,194,1.3402061855670102,RGB,3f30f0f0fc5c4001,,2026-04-07T17:08:59+00:00
f189342943b0f7ad,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0017.JPEG,0017.JPEG,.jpeg,6828,083cf4a540e154042452155571604ab94006c625d969b7d23ceb4d2f5a1f6e70,True,219,230,0.9521739130434784,RGB,cf03203e78c30701,,2026-04-07T17:08:59+00:00
f7f8623dfc92778d,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0018.JPEG,0018.JPEG,.jpeg,5960,953552e1a8b7ce78b3a8ce3753adc4e86e48d8ab131b20438917e4e5a1f70d0a,True,158,112,1.4107142857142858,RGB,fffffefcbcfc1c00,,2026-04-07T17:08:59+00:00
411a86a9fa648b64,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0019.JPEG,0019.JPEG,.jpeg,7871,124803baa81923bf957d0481fdd6a25e72622fa46dbeb79ebb8b2f4d7381dbe1,True,208,243,0.8559670781893004,RGB,c0fcf8f0700000fc,,2026-04-07T17:08:59+00:00
ba113d8815f2ccf3,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0020.JPEG,0020.JPEG,.jpeg,11590,e92d73011f45a31cb79f772bd583da7b203862ee45b4f4dc86bcb3b04917f584,True,269,188,1.430851063829787,RGB,1f1f1f020c1800de,,2026-04-07T17:08:59+00:00
091019d983bc39dd,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0021.JPEG,0021.JPEG,.jpeg,8903,1193f06c7c83100a5c9dfd1bbd6ce57ea688494237693dcccafef495508cb421,True,300,168,1.7857142857142858,RGB,07170f1f853989c3,,2026-04-07T17:08:59+00:00
2f77948a36056315,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0022.JPEG,0022.JPEG,.jpeg,7511,9e9f0de3709bbeda7de75ffc46d2013f7bcc3c9686d3b0dd2d00e2b0da8d1936,True,259,194,1.3350515463917525,RGB,f6f67b7891818387,,2026-04-07T17:08:59+00:00
15c31880efc9971f,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0023.JPEG,0023.JPEG,.jpeg,8891,c3b1fd5db17dcc7d231def6566d15948569e0699304233f05526f9a707aa057f,True,260,194,1.3402061855670102,RGB,7fffbc9880808183,,2026-04-07T17:08:59+00:00
59bed639522f0c11,heldout_test,minor,01-minor,/Users/wangzhuoran/Desktop/COGS 109 project/validation/01-minor/0024.JPEG,0024.JPEG,.jpeg,9036,633bfb679c5f52eac0958960545bef6d06ceffb4f8321c0c1b6b5a7d3e1e9287,True,259,194,1.3350515463917525,RGB,0f0703070d03077f,,2026-04-07T17:08:59+00:00
